Angles-min,Angles-max,Angles-avg,Angles-std,Curves-min,Curves-max,Curves-avg,Curves-std,deltaCurves-min,deltaCurves-max,deltaCurves-avg,deltaCurves-std,hVelocity-min,hVelocity-max,hVelocity-avg,hVelocity-std,vVeclocity-min,vVeclocity-max,vVeclocity-avg,vVeclocity-std,Velocity-min,Velocity-max,Velocity-avg,Velocity-std,Acceleration-min,Acceleration-max,Acceleration-avg,Acceleration-std,Jerk-min,Jerk-max,Jerk-avg,Jerk-std,Angular velocity-min,Angular velocity-max,Angular velocity-avg,Angular velocity-std,
-2.939051,3.141593,-0.714094,1.567489,-3.887523,1.490359,0.000859,0.791519,-3.802736,1.251040,-0.049748,0.742691,-56.000000,27.000000,-0.702703,13.044507,-11.000000,19.000000,-1.243243,5.936728,0.000000,57.070132,7.995616,11.907741,-12.911675,19.802942,0.017970,5.741620,-15.472740,6.653442,-0.093925,3.921451,-2.748894,3.032258,0.019229,0.932452,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-2.356194,2.582993,0.670307,1.492073,-1.598910,2.221441,0.036182,1.044622,-1.307070,2.701396,0.175242,1.242334,-10.000000,8.000000,-0.875000,5.767830,-1.000000,60.000000,15.000000,23.089886,0.000000,60.530984,16.439568,22.705962,-15.837814,4.296888,-4.256298,7.145424,-6.301830,10.067351,0.319165,5.514230,-2.261200,0.760382,-0.125742,0.951043,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-2.677945,-0.348771,-1.345728,1.021983,-0.157080,0.198995,-0.006611,0.184329,-0.036875,-0.019066,-0.027970,0.012592,0.000000,5.000000,2.333333,2.516611,-2.000000,-2.000000,-2.000000,0.000000,2.000000,5.385165,3.404531,1.764584,-1.278369,-0.414214,-0.846291,0.611050,0.432078,0.432078,0.432078,0.000000,-0.392699,1.164587,0.184525,0.853226,
-2.896614,-0.352990,-1.790160,0.992409,-0.049487,0.167523,0.018051,0.072288,-0.044199,0.020691,-0.005273,0.021235,-30.000000,9.000000,-9.000000,14.165686,-21.000000,0.000000,-8.000000,8.831761,1.000000,36.619667,14.698685,13.991906,-10.021493,5.562285,-1.952795,5.992716,-5.894536,2.372679,-1.455106,3.670933,-0.292159,0.499568,0.034427,0.291151,
-3.017238,3.141593,-0.397725,2.340195,-0.353857,1.892547,0.061438,0.376413,-0.217457,1.766979,0.067723,0.345717,-13.000000,20.000000,-0.758621,7.400073,-10.000000,17.000000,0.482759,6.378651,0.000000,25.612497,7.088080,6.652106,-12.306248,8.562306,0.006323,3.916938,-8.126237,4.744678,-0.392609,2.437596,-3.054257,3.032531,-0.079069,1.014537,
-3.030935,3.141593,-0.793516,1.842061,-3.887523,3.086264,0.039827,1.140731,-3.108212,2.124371,0.005195,0.868433,-8.000000,34.000000,1.200000,8.361619,-7.000000,9.000000,-0.400000,3.109126,0.000000,34.713110,4.588490,7.701850,-10.011898,14.315174,0.031250,4.163041,-10.579915,5.886896,0.009186,3.045746,-1.693286,3.086264,0.127254,1.021407,
-2.896614,3.141593,-0.998726,2.712969,-0.244080,0.029898,-0.036610,0.103883,-0.011075,0.021100,0.000552,0.012209,-12.000000,0.000000,-5.166667,4.119061,-6.000000,0.000000,-2.333333,2.250926,0.000000,12.369317,5.918996,4.307967,-3.269182,3.184658,-0.458579,2.740415,-3.226920,2.298174,-0.619053,2.500680,-3.019103,0.179385,-0.441087,1.266490,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-2.034444,1.570796,-0.077298,1.224549,-0.785398,0.909831,-0.009656,0.237627,-0.785398,0.567336,-0.012416,0.190372,-1.000000,28.000000,2.968750,5.954041,-11.000000,29.000000,3.093750,8.854958,0.000000,39.597980,6.731114,9.277353,-12.223851,19.091883,0.004724,5.821230,-13.320143,9.369165,-0.002946,4.694115,-1.353042,1.017222,-0.021899,0.365117,
-2.896614,-0.463648,-2.308496,0.924987,-0.131071,0.934651,0.237601,0.417280,-0.101228,0.384964,0.086652,0.208975,-2.000000,1.000000,-0.600000,1.140175,-1.000000,0.000000,-0.200000,0.447214,0.000000,2.000000,1.082843,0.730968,-0.500000,1.000000,0.125000,0.651482,-0.750000,0.353553,-0.201184,0.551801,-0.270210,1.044971,0.229744,0.490216,
-2.729182,3.141593,-0.246917,2.143356,-1.993929,0.217436,-0.107324,0.478593,-1.468533,0.039182,-0.084250,0.357152,-54.000000,31.000000,-7.444444,23.420007,-44.000000,50.000000,-1.611111,22.586146,0.000000,62.265560,26.264366,19.739920,-23.006768,25.244158,-0.481662,12.471905,-15.750000,22.122079,-0.831429,10.205675,-1.409921,2.935387,0.085296,0.845901,
-2.859038,3.141593,0.513697,1.679710,-0.185893,1.549303,0.078749,0.301545,-0.763905,0.085490,-0.018484,0.129099,-21.000000,43.000000,3.162162,13.795155,-31.000000,43.000000,0.027027,15.656888,0.000000,54.203321,16.795122,12.482413,-21.953845,13.156500,0.101113,7.319399,-16.217368,14.653015,-0.108515,6.337921,-3.000315,2.559822,-0.042024,0.734352,
-3.091634,3.141593,-0.077792,2.476495,-0.101746,0.166969,-0.001349,0.059147,-0.032175,0.007916,-0.002604,0.009159,-47.000000,36.000000,-9.800000,19.468656,-63.000000,52.000000,-4.933333,25.935267,1.000000,72.560320,26.697802,20.419546,-22.001052,20.004170,-0.129120,13.023582,-21.002611,12.935153,-1.538114,10.556620,-2.322308,2.596447,0.191564,1.162106,
0.205395,1.929567,0.813599,0.578910,-0.059433,0.410124,0.037931,0.123413,-0.029590,0.293357,0.023186,0.085808,-1.000000,18.000000,5.307692,5.588450,0.000000,20.000000,6.153846,5.970011,0.000000,21.095023,9.464916,6.431690,-6.082763,5.623083,0.474451,3.296082,-3.799744,4.861409,0.020099,2.395468,-0.657807,0.627413,0.035372,0.330468,
-2.944197,3.141593,0.552381,2.169314,-0.619907,5.355890,0.125362,0.779105,-0.381953,5.358215,0.109982,0.732316,-40.000000,23.000000,-1.214286,10.768159,-26.000000,25.000000,0.410714,6.711664,0.000000,41.761226,8.406959,9.524218,-14.764338,12.348862,0.048107,5.257121,-13.556600,11.941015,-0.071453,4.578522,-3.042895,2.986531,0.055244,0.970899,
0.000000,0.718830,0.375443,0.356917,-0.463648,0.207350,-0.056393,0.286586,-0.670997,0.023398,-0.217441,0.393043,0.000000,8.000000,3.000000,3.559026,0.000000,7.000000,2.250000,3.304038,0.000000,10.630146,3.808924,4.794733,-3.512297,5.315073,0.434259,4.487231,-4.413685,2.907536,-0.753074,5.176885,-0.231824,0.359415,0.086842,0.262452,
-1.107149,1.695151,0.266418,0.915951,-1.253227,0.359800,-0.057144,0.344575,-0.575229,0.045321,-0.037578,0.155532,0.000000,30.000000,9.466667,10.034702,-21.000000,14.000000,1.800000,8.117002,0.000000,33.105891,11.986987,10.588681,-12.493272,9.998817,-0.297619,5.784955,-11.246044,6.643083,-0.231484,4.821583,-0.467050,1.079399,0.025368,0.334275,
-3.017238,3.141593,-0.582251,2.499360,-0.763909,1.764845,0.252291,0.809463,-0.365224,2.210350,0.283387,0.824096,-11.000000,0.000000,-3.444444,4.475241,-22.000000,2.000000,-2.555556,7.350359,0.000000,24.596748,5.223684,8.003266,-11.180340,5.090170,-1.506047,4.770123,-4.840170,5.281153,0.718239,3.322830,-3.079415,2.790464,-0.006033,1.499051,
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
-0.588003,1.670465,0.661720,0.914635,-0.677662,0.785398,0.041402,0.380226,-0.322223,0.510606,0.064062,0.214137,0.000000,9.000000,1.571429,2.533295,-2.000000,28.000000,2.928571,7.946594,0.000000,29.410882,4.413162,7.777364,-12.205441,9.205441,-0.282051,4.558377,-10.705441,4.852721,-0.076389,3.737067,-0.757649,0.785398,0.012202,0.349018,
